地区コード,都道府県コード,都道府県名,地区名称,緯度,経度
25000,25.0,滋賀県,滋賀県,35.0045,135.8686
25201,25.0,滋賀県,大津市,35.0045,135.8686
26000,26.0,京都府,京都府,35.0116,135.7681
26100,,,京都市,35.0116,135.7681
27000,27.0,大阪府,大阪府,34.6937,135.5023
27100,,,大阪市,34.6937,135.5023
27140,,,堺市,34.5733,135.483
28000,28.0,兵庫県,兵庫県,34.6901,135.1955
28100,,,神戸市,34.6901,135.1955
29000,29.0,奈良県,奈良県,34.6851,135.805
29201,29.0,奈良県,奈良市,34.6851,135.805
30000,30.0,和歌山県,和歌山県,34.2261,135.1675
30201,30.0,和歌山県,和歌山市,34.2261,135.1675
31000,31.0,鳥取県,鳥取県,35.5014,134.2381
31201,31.0,鳥取県,鳥取市,35.5014,134.2353
32000,32.0,島根県,島根県,35.4722,133.0506
32201,32.0,島根県,松江市,35.4723,133.0505
33000,33.0,岡山県,岡山県,34.6617,133.935
33100,,,岡山市,34.6617,133.9345
34000,34.0,広島県,広島県,34.3853,132.4553
34100,,,広島市,34.3853,132.4553
35000,35.0,山口県,山口県,34.1861,131.4706
35201,35.0,山口県,山口市,34.1858,131.4706
35203,35.0,山口県,下関市,33.956,130.9405
36000,36.0,徳島県,徳島県,34.0658,134.5594
36201,36.0,徳島県,徳島市,34.0658,134.5594
37000,37.0,香川県,香川県,34.34,134.0433
37201,37.0,香川県,高松市,34.3429,134.0433
38000,38.0,愛媛県,愛媛県,33.8416,132.7657
38201,38.0,愛媛県,松山市,33.8391,132.7657
39000,39.0,高知県,高知県,33.5597,133.5311
39201,39.0,高知県,高知市,33.5597,133.5311
40000,40.0,福岡県,福岡県,33.5904,130.4017
40100,,,福岡市,33.5904,130.4017
40130,,,北九州市,33.8834,130.8751
41000,41.0,佐賀県,佐賀県,33.2494,130.2989
41201,41.0,佐賀県,佐賀市,33.2494,130.2989
42000,42.0,長崎県,長崎県,32.7447,129.8736
42201,42.0,長崎県,長崎市,32.7503,129.8777
43000,43.0,熊本県,熊本県,32.7898,130.7417
43100,,,熊本市,32.8031,130.7079
44000,44.0,大分県,大分県,33.2382,131.6126
44201,44.0,大分県,大分市,33.2382,131.6126
45000,45.0,宮崎県,宮崎県,31.9111,131.4239
45201,45.0,宮崎県,宮崎市,31.9077,131.4202
46000,46.0,鹿児島県,鹿児島県,31.5602,130.5581
46201,46.0,鹿児島県,鹿児島市,31.5966,130.5571
47000,47.0,沖縄県,沖縄県,26.2124,127.6809
47201,47.0,沖縄県,那覇市,26.2124,127.6809
